sku,title,handle,category,price,originalPrice,stock,material,pieces,capacity,promoLabel,healthAngle,certificationStatus,imageUrl,contentAngles,claimNote
BIEN-JUEGO-TE-AAA,Juegos de te AAA,juegos-de-te-aaa,Hogar Zen,139,139,1,Ceramica y accesorios,1,Set de te,Hogar Zen,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-juego-te-japones.jpg,ritual de te|mesa zen|regalo premium,No prometer beneficios medicos de infusiones.
BIEN-TERMO-SUS304-500,Termo acero inoxidable SUS 304 500 ml,termo-acero-sus304-500ml,Hogar Zen,20,20,1,Acero inoxidable SUS 304,1,500 ml,Uso diario,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-termo-sus304.jpg,termo 500 ml|SUS 304|uso diario,No prometer beneficios medicos por hidratacion.
BIEN-TERMO-SUS304-1000,Termo de acero SUS304 1000 ml,termo-acero-sus304-1000ml,Hogar Zen,28.5,28.5,1,Acero inoxidable SUS 304,1,1000 ml,Uso diario,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-termo-sus304.jpg,termo 1000 ml|SUS 304|dia completo,No prometer beneficios medicos por hidratacion.
BIEN-YOGA-MAT-SUEDE-4MM,Yoga Mat Suede 4 mm Premium,yoga-mat-suede-4mm-premium,Yoga & Movimiento,79.99,79.99,1,Suede,1,Uso personal,Movimiento premium,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-yoga-mat-suede.jpg,mat suede|4 mm|movimiento suave,No prometer tratamiento fisico ni resultado medico.
BIEN-MEDITADOR-MANDALA-70,Meditador Mandala PU Rubber 70 cm,meditador-mandala-pu-rubber-70cm,Yoga & Movimiento,33,33,1,PU rubber,1,70 cm diametro,Pausa visual,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-meditador-mandala.jpg,mandala|70 cm|rincon de meditacion,No prometer relajacion clinica ni efectos terapeuticos.
BIEN-PISTOLA-PERCUSION-PRO,Pistola de percusion profesional 30 niveles,pistola-percusion-profesional-30-niveles,Yoga & Movimiento,199,199,1,Equipo de masaje,1,30 niveles,Movimiento,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-pistola-percusion.jpg,30 niveles|masaje muscular|rutina deportiva,"No prometer tratamiento, cura ni recuperacion clinica."
BIEN-CUENCO-BRONCE-8,Cuenco de bronce con grabado sanscrito 8 cm,cuenco-bronce-grabado-sanscrito-8cm,Energia & Bienestar,45,45,1,Bronce,1,8 cm,Sonido,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-cuenco-bronce.jpg,cuenco 8 cm|bronce|sonido,No prometer beneficios terapeuticos.
BIEN-CUENCO-BRONCE-9,Cuenco de bronce con grabado sanscrito 9 cm,cuenco-bronce-grabado-sanscrito-9cm,Energia & Bienestar,65,65,1,Bronce,1,9 cm,Sonido,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-cuenco-bronce.jpg,cuenco 9 cm|bronce|sonido,No prometer beneficios terapeuticos.
BIEN-TAMBOR-LENGUA-8-NOTAS,Tambor de lengua 8 notas,tambor-lengua-8-notas,Energia & Bienestar,65,65,1,Metal,1,8 notas,Sonido,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-tambor-lengua.jpg,8 notas|sonido|regalo,No prometer beneficios terapeuticos.
BIEN-ARGOLLAS-PLATA-925,Argollas plata 925,argollas-plata-925,Tesoros Plata & Acero,43,43,1,Plata 925,1,Uso personal,Plata 925,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,plata 925|regalo|uso diario,Confirmar material con ficha o proveedor antes de pauta fuerte.
BIEN-DIJE-OM-PLATA-925,Dije OM grande,dije-om-grande,Tesoros Plata & Acero,74,74,1,Plata 925 por confirmar,1,Dije grande,Simbolo OM,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,simbolo OM|regalo|accesorio espiritual,Confirmar material exacto antes de publicar como plata 925.
BIEN-AMULETO-HINDU-PLATA-925,Amuleto Hindu plata 925,amuleto-hindu-plata-925,Tesoros Plata & Acero,38,38,1,Plata 925,1,Amuleto,Plata 925,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,amuleto|plata 925|regalo,"No prometer proteccion, energia ni resultados espirituales."
BIEN-CASCADA-HUMO-OM-GANESHA-TORRE,"Cascadas de humo OM, Ganesha y Torre",cascadas-humo-om-ganesha-torre,Energia & Bienestar,12,12,1,Accesorio decorativo,1,1 cascada,Ambiente,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-cascada-humo.jpg,humo|OM|Ganesha,"No prometer purificacion, cura ni beneficios clinicos."
BIEN-PENDULO-7-CHAKRAS,Pendulo 7 chakras,pendulo-7-chakras,Energia & Bienestar,13.33,13.33,1,Piedras y metal por confirmar,1,Uso personal,7 chakras,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,7 chakras|pendulo|regalo pequeno,"No prometer diagnostico, proteccion ni resultados energeticos."
BIEN-LAMPARA-SAL-HIMALAYA-10KG,Lampara de sal Himalaya 10 kilos grande,lampara-sal-himalaya-10kg-grande,Energia & Bienestar,65,65,1,Sal del Himalaya,1,10 kilos,Luz calida,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-lampara-sal.jpg,10 kilos|luz calida|decoracion,No prometer purificacion de aire ni beneficios medicos.
BIEN-MOXAS-CHINAS,Moxas Chinas,moxas-chinas,Energia & Bienestar,20,20,1,Moxa por confirmar,1,Set de moxas,Tradicional,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-moxas-chinas.jpg,moxas|tradicion|ritual,"No prometer alivio, tratamiento ni resultado terapeutico."
BIEN-BLOQUES-YOGA-3-CAPAS,Bloques de yoga 3 capas,bloques-yoga-3-capas,Yoga & Movimiento,15,15,1,EVA por confirmar,1,1 bloque,Soporte yoga,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-mat.svg,bloque yoga|soporte|movimiento,No prometer correccion fisica ni beneficio clinico.
BIEN-PORTAINCIENSO-HORIZONTAL-MADERA,Portaincienso horizontal de madera,portaincienso-horizontal-madera,Energia & Bienestar,12,12,1,Madera,1,1 portaincienso,Aroma,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,incienso|madera|decoracion,Usar con ventilacion y sin prometer beneficios medicos.
BIEN-CADENA-HOMBRE-RASGADO,Cadena hombre rasgado,cadena-hombre-rasgado,Tesoros Plata & Acero,350,350,1,Metal por confirmar,1,Cadena,Regalo premium,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,cadena|hombre|regalo premium,Confirmar material exacto antes de pauta fuerte.
BIEN-DIJES-ANIMALES-GALAPAGOS-PLATA-925,Dijes Animales Galapagos plata 925,dijes-animales-galapagos-plata-925,Tesoros Plata & Acero,15,15,1,Plata 925 por confirmar,1,Dije,Plata 925,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,galapagos|dije|regalo,Confirmar material exacto antes de publicar como plata 925.
BIEN-PORTAINCIENSO-METAL,Portaincienso metal,portaincienso-metal,Energia & Bienestar,15,15,1,Metal,1,1 portaincienso,Aroma,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-portaincienso-metal.jpg,incienso|metal|decoracion,Usar con ventilacion y sin prometer beneficios medicos.
BIEN-PORTAINCIENSO-VERTICAL-BRONCE,Portaincienso vertical de bronce,portaincienso-vertical-bronce,Energia & Bienestar,29.99,29.99,1,Bronce,1,1 portaincienso,Bronce,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-portaincienso-metal.jpg,incienso|bronce|decoracion,Usar con ventilacion y sin prometer beneficios medicos.
BIEN-SAUMADOR-PALO-SANTO-BRONCE,Saumador de palo Santo en bronce,saumador-palo-santo-bronce,Energia & Bienestar,39.99,39.99,1,Bronce,1,1 saumador,Bronce,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,palo santo|bronce|aroma,No prometer limpieza energetica ni beneficios medicos.
BIEN-ARETES-ACERO-INOXIDABLE,Aretes acero inoxidable,aretes-acero-inoxidable,Tesoros Plata & Acero,15,15,1,Acero inoxidable,1,Par de aretes,Acero inoxidable,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,aretes|acero inoxidable|regalo,Confirmar material exacto antes de pauta fuerte.
BIEN-ARETES-PLATA-925,Aretes Plata 925,aretes-plata-925,Tesoros Plata & Acero,33,33,1,Plata 925,1,Par de aretes,Plata 925,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,aretes|plata 925|regalo,Confirmar material exacto antes de publicar como plata 925.
BIEN-ARGOLLAS-PLATA-925-2999,Argollas de Plata 925,argollas-plata-925-2999,Tesoros Plata & Acero,29.99,29.99,1,Plata 925,1,Par de argollas,Plata 925,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,argollas|plata 925|regalo,Confirmar material exacto antes de publicar como plata 925.
BIEN-ANILLOS-HOMBRE-ACERO,Anillos hombre Acero Inoxidable,anillos-hombre-acero-inoxidable,Tesoros Plata & Acero,19.99,19.99,1,Acero inoxidable,1,1 anillo,Acero inoxidable,Producto de bienestar sin promesas medicas ni terapeuticas.,Proveedor por confirmar,https://bienestar.b2b.com.ec/media/wellness-aroma.svg,anillos hombre|acero inoxidable|regalo,Confirmar tallas y material antes de pauta fuerte.
